User,Time,Model,Input tokens,Output tokens,Cost,Balance
open-ui,6/23/2026, 10:00:16 AM,google/gemma-4-26B-A4B-it,8430,568,0.0019,90547.1180
Seema Mathew,6/23/2026, 9:38:18 AM,ministral-3:latest,548,469,0.0001,905.5034
open-ui,6/23/2026, 9:30:31 AM,google/gemma-4-26B-A4B-it,8022,387,0.8409,90547.1199
Seema Mathew,6/23/2026, 9:09:50 AM,ministral-3:14b,17642,1099,1.8741,905.5035
open-ui,6/22/2026, 11:37:20 AM,google/gemma-4-26B-A4B-it,246,669,0.0915,90547.9608
open-ui,6/22/2026, 11:37:09 AM,google/gemma-4-26B-A4B-it,1,234,0.0235,90548.0523
open-ui,6/21/2026, 8:28:15 AM,gemma4:12b,6729,1082,0.7811,90548.0758
open-ui,6/21/2026, 8:27:09 AM,gemma4:12b,6467,1309,0.7776,90548.8569
open-ui,6/21/2026, 8:25:25 AM,google/gemma-4-26B-A4B-it,4762,282,0.5044,90549.6345
open-ui,6/21/2026, 8:24:25 AM,google/gemma-4-26B-A4B-it,4376,366,0.4742,90550.1389
open-ui,6/20/2026, 9:32:28 PM,google/gemma-4-26B-A4B-it,3479,880,0.4359,90550.6131
open-ui,6/20/2026, 5:31:05 PM,google/gemma-4-26B-A4B-it,2299,996,0.3295,90551.0490
open-ui,6/20/2026, 5:23:06 PM,google/gemma-4-26B-A4B-it,1665,614,0.2279,90551.3785
open-ui,6/20/2026, 5:01:53 PM,google/gemma-4-26B-A4B-it,745,899,0.1644,90551.6064
open-ui,6/20/2026, 5:01:05 PM,google/gemma-4-26B-A4B-it,745,790,0.1535,90551.7708
open-ui,6/20/2026, 4:53:47 PM,google/gemma-4-26B-A4B-it,55,669,0.0724,90551.9243
Seema Mathew,6/19/2026, 12:45:21 PM,ministral-3:latest,10596,1115,1.1711,907.3776
open-ui,6/19/2026, 7:07:56 AM,gemma4:12b,10509,1311,1.1820,90551.9967
open-ui,6/19/2026, 7:02:32 AM,google/gemma-4-26B-A4B-it,17302,445,1.7747,90553.1787
open-ui,6/19/2026, 6:53:32 AM,google/gemma-4-26B-A4B-it,16579,698,1.7277,90554.9534
open-ui,6/18/2026, 10:25:03 PM,google/gemma-4-26B-A4B-it,16106,455,1.6561,90556.6811
open-ui,6/18/2026, 10:23:46 PM,google/gemma-4-26B-A4B-it,15520,566,1.6086,90558.3372
open-ui,6/18/2026, 10:23:10 PM,google/gemma-4-26B-A4B-it,15048,453,1.5501,90559.9458
open-ui,6/18/2026, 10:21:48 PM,gemma4:12b,7863,6673,1.4536,90561.4959
open-ui,6/18/2026, 9:20:38 PM,qwen3.6:latest,6768,5469,1.2237,90562.9495
open-ui,6/18/2026, 9:11:57 PM,google/gemma-4-26B-A4B-it,17,1477,0.1494,90564.1732
open-ui,6/18/2026, 9:09:42 PM,google/gemma-4-26B-A4B-it,6597,1034,0.7631,90564.3226
open-ui,6/18/2026, 9:05:39 PM,google/gemma-4-26B-A4B-it,27064,1197,2.8261,90565.0857
open-ui,6/18/2026, 9:04:40 PM,google/gemma-4-26B-A4B-it,25814,1236,2.7050,90567.9118
open-ui,6/18/2026, 9:02:36 PM,google/gemma-4-26B-A4B-it,24526,1262,2.5788,90570.6168
open-ui,6/18/2026, 9:01:37 PM,google/gemma-4-26B-A4B-it,23279,1228,2.4507,90573.1956
open-ui,6/18/2026, 3:15:37 PM,viewpoint-local,3417,556,0.1192,90575.6463
open-ui,6/18/2026, 3:14:48 PM,viewpoint-local,1768,1627,0.1019,90575.7655
open-ui,6/17/2026, 2:37:36 PM,openai/gpt-oss-20b,4807,1760,0.6567,90575.8674
open-ui,6/17/2026, 10:19:30 AM,openai/gpt-oss-20b,3750,1041,0.4791,90576.5241
open-ui,6/17/2026, 7:18:14 AM,viewpoint-local,7489,916,0.2522,90577.0032
open-ui,6/17/2026, 7:16:03 AM,viewpoint-local,7489,1205,0.2608,90577.2554
